workerid,item,response,response_type,partial,condition
2940,9,The most divisive politcal climates in recent history,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
2566,3,ensure that he/she is secured and safe from threats.,hedged,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2407,9,them will be the extremely divided nature of the two political parties.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2493,1,the president will do will be implementing their policy.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1800,9,them will be trump falsely trying to claim the election was stolen from him.,pronoun male,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2390,11,she goes,pronoun female,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1621,4,Kamala Harris takes office.,Harris,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2930,2,"American unity, prosperity and safety.",OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
1826,1,Kamala Harris will do,Harris,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2278,12,maximum safety and security as well as extra amenities for the most comfortable ride.,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
2156,2,the need for unity.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2513,1,the president will do is to set up their household.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1859,12,she will arrive safely.,pronoun female,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
2640,3,"their family, ensuring their safety and security during the transition period and throughout their time in office.",pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1874,8,they will take on the necessary roles to lead our country.,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",event-cloze
2330,12,the safety of the President and staff.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2495,1,she will do as President is provide rehabilitation to individuals who have been wrongfully jailed due to cannabis consumption.,pronoun female,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2907,3,and the vice president.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2637,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
2928,11,he goes and they will report on everything he does.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2652,12,adequate security for the president,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
2880,5,they will stop the influx of illegal immigrants coming over our southern border.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
1839,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
2505,9,his biggest is illegal immigration.,pronoun male,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
1780,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2788,8,Donald J Trump,Trump,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2365,12,the safety of the president.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
2792,1,He should do is strengthen our border,pronoun male,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",event-cloze
2561,11,they go,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
2244,9,them is getting cooperation from Congress.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2683,5,Were made during the elections,OTHER,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",event-cloze
1500,4,President Harris is sworn in as the United States' first female president.,Harris,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1867,11,she goes.,pronoun female,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2169,9,the divided times in US history.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
1808,2,the imporance of voting.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
2143,4,being sworn in with joy and anticipation for whats in store for our country,OTHER,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
1405,9,the most challenging issues facing this country.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
2765,11,she goes.,pronoun female,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2083,12,that they will arrive safely at the White House.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
1766,4,they are elected.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1526,12,That the person elected gets to their destinations safely.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2627,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2211,5,they made during their campaign.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
1762,3,their family,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2844,3,plan for the large crowds at the inauguration event.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2188,3,make sure of their safety.,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1636,1,they will do is get started working in their job.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2951,5,they will improve the nation's economy.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",event-cloze
1903,11,he goes.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2527,9,them is uniting this fractured country.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1939,10,heavily guarded,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
1494,12,that the government functions can still be carried out while in the air.,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
1925,1,the new president will do is to assess the business that's in front of them.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",event-cloze
2258,2,coming together as a country and moving forward in a united manner.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2214,5,she has promised. It is too early to see. Hopefully this country is headed in the right direction.,pronoun female,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2142,9,them is getting the economy back into shape,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1832,9,the most pressing will be addressing the growing economic inequality and its impact on social stability.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2882,4,President Trump is sworn in,Trump,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2194,4,they are sworn into office.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1940,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
2499,5,they bring crypto friendly policies to light.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2333,11,his appointments or obligations may lead him.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1489,2,"the importance of moving past election rhetoric and the rights of all countrymen, regardless of partisanship.",OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2138,9,them will be trying to heal the nation's growing political divides.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
1623,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1423,4,they are inaugurated.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1595,3,the vice president.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2073,11,she goes.,pronoun female,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
2102,11,he goes.,pronoun male,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
2815,2,"unity, the economy, and national security.",OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
1430,11,he or she goes.,hedged,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1534,10,happy,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
1957,4,Kamala Harris is the 1st woman elected as president of the Unites States.,Harris,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1625,4,he or she is sworn in.,hedged,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2343,4,she is sworn into office.,pronoun female,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
1549,4,"The next US president will be sworn into office in January 2025. The entire world will be watching the president when they outline their vision for domestic and international policies, addressing key issues such as climate change, economic recovery, and geopolitical tensions, which will significantly impact global stability and cooperation",pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1798,8,Kamala Harris,Harris,"The next US president will be sworn into office in January 2025. As commander in chief,",event-cloze
2168,8,Kamala Harris,Harris,"The next US president will be sworn into office in January 2025. As commander in chief,",event-cloze
2710,1,I will do is bless it and pray,OTHER,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2632,5,they made during their campaign,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
1823,4,they take the stage.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2885,1,Trump will do is issue a self-pardon and various blanket pardons to his henchmen.,pronoun male,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1806,5,they had announced and addressed.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2865,9,them is the ongoing conflict between Israel and the greater middle east.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2669,4,she is sworn into office.,pronoun female,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2701,8,the president needs to bring the country together and move forward.,ambiguous NP,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2111,3,His family.,pronoun male,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2245,8,"the next US president will be responsible for leading the armed forces, making key national security decisions, and representing the country in diplomatic matters.",ambiguous NP,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
1599,4,is sworn in.,OTHER,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2898,4,he begins what he started 4 years ago.,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2656,1,President Trump will do is fix the illegal immigration crisis along the United States and Mexico border.,Trump,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2803,11,they go,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2516,4,they accept the position.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2017,3,vice president.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2019,12,safe and protected passage,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
1733,4,Donald Trump walks the stage.,Trump,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2610,1,the new President will do is give a speech.,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2459,1,The president will do is sign a bunch of executive orders.,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",event-cloze
1820,12,safe and quick travel to where the next US president needs to be.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
1661,3,the vice president as well as members of congress.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2464,10,arriving at his inauguration.,pronoun male,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2744,10,protected by the secret service.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
1744,3,vice-president,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
1640,12,safety,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2307,1,the President will do is focus on the economy.,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2002,9,those challenges is to get control of the immigration situation.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
2924,4,he is sworn into office.,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2488,8,President Donald J Trump is the 47 US president.,Trump,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
1540,2,unity in our country.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
1409,4,Kamala Harris,Harris,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2400,12,safety,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2854,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2061,10,"well-guarded and protected by the Secret Service in a wide perimeter, making  her quite safe.",pronoun female,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2520,9,them will be to lower prices at the gas station and grocery stores.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2845,2,the economy.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
1809,10,the 46th president.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
1462,9,most contentious eras.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2286,8,this individual will have a significant amount of control over the future of our country.,OTHER,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2833,8,Donald Trump will save this nation.,Trump,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2166,3,vice president,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2708,2,removal of illegal immigrants immediately,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
1441,8,they will lead the country and respresent the citizens for the next 4 years.,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2870,5,they mentioned during their campaign,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",event-cloze
1862,3,their family from potential threats.,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1787,10,protected by the secret service.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
2334,4,they are inducted.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2534,8,President Trump vows to put an immediate end to hostilities in Ukraine and the Middle East.,Trump,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2822,3,provide round-the-clock security to home and family.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1836,10,will be well protected.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
1944,4,they are sworn in,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2696,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2533,3,other multiple government officials and former presidents.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2786,3,his immediate family.,pronoun male,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
1929,8,our nation is praying that we will have new leadership.,OTHER,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2372,8,he will be in charge of the country.,pronoun male,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2412,10,heavily guarded.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
1584,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
1539,4,they are sworn in.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
1707,8,they will be responsible for,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2577,4,the oath is recited.,OTHER,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2393,4,they are inaugurated.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2205,12,safe travel,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2812,9,the most challenging years ahead,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
1740,4,they give their speech.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1551,2,a sense of unity and a commitment to moving forward.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2006,11,he or she goes.,hedged,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2457,3,his family and vice president,pronoun male,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2509,4,"they take over the Oval Office, waiting to see what sort of changes the leadership will cause on pressing issues such as immigration and the economy.",pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2007,4,he delivers his acceptance speech to the country.,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2312,3,"if Trump wins, there will likely be another assassination attempt, but if Kamala wins, the corrupt power structure remains in place, and the Secret Service has nothing to worry about as no one tries to kill a puppet..",Trump,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2766,10,heavily guarded as it transports the president to their new home to ensure peaceful transfer of power.,pronoun neutral,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
1837,4,the next US President is sworn in.,ambiguous NP,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1400,4,He is sworn into office,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
1691,5,they have made during their campaign.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
1446,12,her safety.,pronoun female,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
1666,9,the most volatile times in US history.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1866,2,lowering the price of groceries and expanding medicare and medicad.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2122,8,he will be responsible for many important decisions in the United States.,pronoun male,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
1953,2,the economy,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
1718,4,they are sworn in.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2642,12,the President's safety,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2849,3,the vice president.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2840,9,the hardest years to create unity in america,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1421,8,I will support and uphold the constitution of the united states.,OTHER,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2332,2,Turning the country around!,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
2438,9,these challenges will be improving the economy.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1709,9,the most urgent will be tackling the climate crisis while balancing economic growth and energy demands.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1819,10,heavily guarded.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
1642,11,They go to.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2068,10,"escorted with security detail, as crowds gather to witness the historic event.",OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
2232,8,and President of the United States of America,OTHER,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2413,9,them includes dealing with the border crisis.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1711,9,the most divided congresses in history.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2470,3,first gentleman.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2838,4,he gives his first speech,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2498,8,they will hold office for the next 4 years.,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
1668,2,making America great again,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
2635,12,the president-elect doesn't miss the inauguration.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
2150,3,put measures in place to secure the premises.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
1548,2,unity,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
1392,1,the new president will do is be briefed on their future duties.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
2759,12,the safety of the President.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2395,4,that time comes.,OTHER,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2575,2,on his policies,pronoun male,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2618,9,them is illegal immigration,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
1746,10,long.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
2226,3,VP.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",event-cloze
2020,5,they made during their campaign.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2480,2,how much he/she will do for the country.,hedged,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
2807,5,they made.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
1932,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
2224,9,Donald Trump's first agenda item is executive orders to close the border.,Trump,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",event-cloze
2453,1,President Harris does is take a deep breath and appreciate the moment.,Harris,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",event-cloze
2265,3,white house,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2434,12,the president elect's safety.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2075,4,he or she is sworn in.,hedged,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2659,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2679,8,the President is in change of the armed forces of the United States.,ambiguous NP,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2081,3,their family.,pronoun neutral,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2308,8,Donald J. Trump will become the 47th president of the United States for the next 4 years.,Trump,"The next US president will be sworn into office in January 2025. As commander in chief,",event-cloze
2417,1,the newly appointed president will do is hold a press conference.,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1883,11,he/she goes and whatever they do leading up to their time at inaugoration,hedged,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
1720,10,quite long.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
1980,9,the most daunting is to unify Americans in support of their government.,pronoun neutral,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2420,12,the safety of the next US president.,ambiguous NP,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
1485,10,a long line.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,event-cloze
2982,1,Kamala will do is breath a deep sigh of relief.,Harris,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1755,3,vice president,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1570,3,vice president.,OTHER,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
1525,9,immigration,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1761,9,the toughest economies in decades.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
1930,4,the first Black Woman is president.,Harris,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1855,9,crime,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
