workerid,item,response,response_type,partial,condition,batch,y,sentence,election
5,1476635266,6af2fa6e2b653263bce55c5cf97d1ecd,504568,daily,35,Female,MI,4-year college degree,Independent,TRUE,TRUE,TRUE,making that wall,10,"Unfortunately, there is no guarantee that the president will deliver on the promises that",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
7,1476635433,3aa11a5fa6c4e1106db0bb0db6e59bd9,320164,weekly,63,Male,TN,Some college,Republican,TRUE,TRUE,TRUE,fixing the economy ,10,"During the first term, the president will have to work towards",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
8,1476635542,1c0650c645ae2e6dd08fe84590792fa8,429292,daily,53,Female,TX,Some college,Democrat,TRUE,TRUE,TRUE,one of their first tasks will be to revamp healthcare.,10,"As commander in chief,",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
6,1476636258,1ee438b023df7e94d24dd57803909d65,224299,daily,25,Male,FL,High school graduate,Democrat,TRUE,TRUE,TRUE,a lot of their power will depend on which party holds majority in congress.,10,"Although the president's political power will not be absolute,",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
9,1476636382,cd71f3f5bfc85165bbda7800ce0b4cc9,597884,daily,34,Female,MN,4-year college degree,Republican,TRUE,TRUE,TRUE,the worst economic disasters to date,10,"The newly elected president will face many challenges, and one of",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
10,1476637001,73c9eef5f6fcfa1aa6875ac877a181ac,391823,daily,37,Female,FL,High school graduate,Independent,TRUE,TRUE,TRUE,,10,The president's motorcade will be,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
11,1476637145,4aee77a5b538089ce09115a40d0fc12e,955033,daily,23,Male,IL,Some college,Democrat,TRUE,TRUE,TRUE,they go%2C any time they go there. ,10,"Once the general election is over, the president will be followed by the press wherever",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
2,1476638360,66295254b9961a35355e0818b1f22d2d,980491,weekly,40,Male,CA,Professional degree,Democrat,TRUE,TRUE,TRUE,their future goals and strategies.,10,"During the inauguration speech, the president will emphasize",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
3,1476638576,56bc7b15d1cf7b39fd1d09d65cba02be,998552,daily,25,Male,NY,Professional degree,Democrat,TRUE,TRUE,TRUE,vice president,10,"Even before Inauguration Day, the Secret Service will protect the president and",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
5,1476639179,9fbb976d97afb84903ec087c2c1c1042,551972,daily,23,Male,NV,Some college,Independent,TRUE,TRUE,TRUE,he will build a giant wall,10,"Unfortunately, there is no guarantee that the president will deliver on the promises that",male,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,he,Clinton-Trump
4,1476639352,3702725cd1157adaff5db6d72614e307,690632,daily,26,Male,IN,4-year college degree,Republican,TRUE,TRUE,TRUE,he celebrates victory. ,10,The entire world will be watching the president when,male,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,he,Clinton-Trump
6,1476639844,d0ca0604a6fc4abcd50125774b7dd8ba,55862,daily,56,Female,CT,High school graduate,Democrat,TRUE,TRUE,TRUE,congress has much power too.,10,"Although the president's political power will not be absolute,",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
9,1476640141,e6c5213ad2af1e72a7b9c6123cd13161,248432,daily,30,Female,MS,4-year college degree,Republican,TRUE,TRUE,TRUE,the most divisive political climates in recent history. ,10,"The newly elected president will face many challenges, and one of",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
10,1476640251,8f157a144a22860bc9c6b2acfcc81f79,759702,weekly,26,Male,CA,4-year college degree,Democrat,TRUE,TRUE,TRUE,on high alert that day.,10,The president's motorcade will be,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
12,1476641452,ff532fd2de0c8fe51cd9f21f39393b17,223428,daily,35,Male,NM,Some college,Independent,TRUE,TRUE,TRUE,the safety of the president.,10,"Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
1,1476642678,3142e9dbfb808349791a3f5f74cfd335,507368,daily,33,Female,MA,Some college,Democrat,TRUE,TRUE,TRUE,the president will do is to redecorate.,10,"After moving into the Oval Office, one of the first things that",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
2,1476642745,9a0a2d151c21c443cbe348eb689866d6,495423,daily,35,Male,FL,4-year college degree,None,TRUE,TRUE,TRUE,his policy strategy,10,"During the inauguration speech, the president will emphasize",male,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,he,Clinton-Trump
4,1476645432,fc54ec115f9ba726bc0ddf0d99a1e3a9,282741,daily,19,Male,MT,Some college,Republican,TRUE,TRUE,TRUE,take office.,10,The entire world will be watching the president when,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
5,1476645563,3e39f8183da063e716dc073c0af81f3a,119560,daily,47,Female,VA,Some college,Democrat,TRUE,TRUE,TRUE,they made to lower taxes,10,"Unfortunately, there is no guarantee that the president will deliver on the promises that",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
6,1476646146,f6bd56b47d8e575c17db94e55825ac6d,308941,daily,24,Female,OH,4-year college degree,Republican,TRUE,TRUE,TRUE,until February 2017,10,"Although the president's political power will not be absolute,",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
8,1476646454,a1cf8225214942cc224bdd41ce658729,777323,daily,23,Male,TX,Some college,None,TRUE,TRUE,TRUE,of the armed forces.,10,"As commander in chief,",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
7,1476646636,2b4da312202eb04e4443bee3d781daf4,84068,weekly,37,Female,AZ,2-year college degree,None,TRUE,TRUE,TRUE,gaining the publics trust. ,10,"During the first term, the president will have to work towards",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
9,1476646705,5b264bd241ab8183fd265976932fb6f8,387646,daily,18,Female,NJ,Some college,Democrat,TRUE,TRUE,TRUE, the biggest challenges is the Middle East.,10,"The newly elected president will face many challenges, and one of",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
10,1476647110,5107525da1127981a4aead096ae60c73,81163,daily,27,Female,FL,4-year college degree,Democrat,TRUE,TRUE,TRUE,,10,The president's motorcade will be,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
11,1476647248,627115c73b44688cee6a5d21de077325,958651,daily,43,Female,WA,Some college,None,TRUE,TRUE,TRUE,he or she goes.,10,"Once the general election is over, the president will be followed by the press wherever",both,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,neutral,Clinton-Trump
12,1476647746,022c4760bbf3693963a81c4ca6b99319,306254,weekly,21,Female,FL,Some college,Independent,TRUE,TRUE,TRUE,safety,10,"Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
1,1476648028,ab6fbdeec28a7f9039b22bd0b6b84dd4,707676,daily,39,Female,CA,Professional degree,Democrat,TRUE,TRUE,TRUE,she will do is have an affair with her intern.,10,"After moving into the Oval Office, one of the first things that",female,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,she,Clinton-Trump
2,1476648490,e8c0bc913414440d20891f7f75db8123,634719,weekly,47,Male,FL,Some college,None,TRUE,TRUE,TRUE,promises made during the campaign,10,"During the inauguration speech, the president will emphasize",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
4,1476648546,9d255170b9ae4347ee6c109961637f97,103023,weekly,24,Female,CA,Some college,Independent,TRUE,TRUE,TRUE,takes the oath.,10,The entire world will be watching the president when,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
3,1476648625,c5ccb0d2fc63f032b59decd8d0ae4fc8,778307,weekly,64,Male,MO,Professional degree,Independent,TRUE,TRUE,TRUE,vice president,10,"Even before Inauguration Day, the Secret Service will protect the president and",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
5,1476648671,34611ab7144bde7b5bac566bb121690a,988152,daily,53,Female,NJ,2-year college degree,Democrat,TRUE,TRUE,TRUE,they talk about,10,"Unfortunately, there is no guarantee that the president will deliver on the promises that",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
6,1476649137,1259ce15b437bb0f9963bbcb97e46d5a,472010,weekly,36,Female,IN,4-year college degree,Independent,TRUE,TRUE,TRUE,democracy,10,"Although the president's political power will not be absolute,",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
7,1476649433,bd498f3466b1829d044e1a0d9daf968f,712642,daily,20,Male,MA,2-year college degree,Independent,TRUE,TRUE,TRUE,peace.,10,"During the first term, the president will have to work towards",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
8,1476649516,a6f618d4b2c500a34d81dba27406ce63,812976,daily,27,Female,NY,4-year college degree,Independent,TRUE,TRUE,TRUE,He holds the most important job.,10,"As commander in chief,",male,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,he,Clinton-Trump
9,1476650140,f2bf46a36a2a9d86dbe8ad28dfe83d21,646692,daily,42,Female,MI,4-year college degree,Independent,TRUE,TRUE,TRUE,these challenges will be related to foreign policy.,10,"The newly elected president will face many challenges, and one of",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
10,1476650440,c9f4c1a5681f6f36a82e6f95614ad7ca,750083,daily,35,Female,LA,4-year college degree,Independent,TRUE,TRUE,TRUE,black cars.,10,The president's motorcade will be,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
11,1476650499,700b1c560aca53f9c60b8a2b3cc8f475,549738,daily,34,Female,TX,4-year college degree,Independent,TRUE,TRUE,TRUE,he will go%2C until the end of his current term.,10,"Once the general election is over, the president will be followed by the press wherever",male,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,he,Clinton-Trump
12,1476650643,f4387cd0062627756767c04caa967554,757745,daily,27,Female,NE,Some college,Republican,TRUE,TRUE,TRUE,the safe travels of our Commander and Chief.,10,"Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
1,1476650790,466d776dcf10e820fcc01079cab1f843,283114,never,19,Male,GA,High school graduate,None,TRUE,TRUE,TRUE,Hillary will do is get advice from Obama,10,"After moving into the Oval Office, one of the first things that",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
3,1476652129,5bd6893b7a549c79f3a2ad1c9222874d,530377,daily,34,Female,CO,4-year college degree,Independent,TRUE,TRUE,TRUE,president-elect.,10,"Even before Inauguration Day, the Secret Service will protect the president and",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
4,1476652580,7c8cf42d9e0a3e64af35a2f2e1256770,880478,daily,36,Female,OR,High school graduate,Independent,TRUE,TRUE,TRUE,he is Elected President,10,The entire world will be watching the president when,male,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,he,Clinton-Trump
5,1476652900,f917e64f0b122384d87cbedec0db9e86,407108,daily,28,Male,TX,4-year college degree,Other,TRUE,TRUE,TRUE,They've said.,10,"Unfortunately, there is no guarantee that the president will deliver on the promises that",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
6,1476653321,17b6d3739c1af45c75a2f0dcb5e91908,720011,weekly,25,Male,CA,4-year college degree,None,TRUE,TRUE,TRUE,it will still be a prominent factor in major political decisions.,10,"Although the president's political power will not be absolute,",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
7,1476653362,ba44ae48105ffda31300493a61838ae7,296006,daily,58,Female,TX,Some college,Republican,TRUE,TRUE,TRUE,setting up those to be in charge of specific areas.. financial%2C medical%2C etc,10,"During the first term, the president will have to work towards",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
8,1476653574,11fabfcddb1f0ab4011b82226c6a97e2,990328,daily,29,Female,NJ,Professional degree,Democrat,TRUE,TRUE,TRUE,they will begin their term of duty on this day.,10,"As commander in chief,",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
9,1476653726,0d7f7f09fcd6059e8d7317fef8fbbbe6,700963,daily,37,Female,MO,4-year college degree,Republican,TRUE,TRUE,TRUE,them will be to deal with racism.,10,"The newly elected president will face many challenges, and one of",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
10,1476653973,ca3a144819963368cff87ddfa2616d45,610597,daily,59,Female,CA,Professional degree,Republican,TRUE,TRUE,TRUE,under high security.,10,The president's motorcade will be,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
11,1476654117,bb4fc9bb1267213fcb6e13b64d1a8093,49974,daily,23,Female,SC,4-year college degree,Democrat,TRUE,TRUE,TRUE,he or she goes.,10,"Once the general election is over, the president will be followed by the press wherever",both,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,neutral,Clinton-Trump
12,1476654139,931efe9f58f6548aa96e55a141abec7b,489162,daily,42,Male,SC,Some college,Independent,TRUE,TRUE,TRUE,safety.,10,"Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
1,1476654523,8fd85f4673d670ddc16a93ed390ea7bf,303961,daily,34,Female,FL,4-year college degree,Democrat,TRUE,TRUE,TRUE,A new president must do,10,"After moving into the Oval Office, one of the first things that",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
2,1476655064,4622fa75109113818cb30ad3b376ccbf,553501,daily,36,Female,NY,4-year college degree,Republican,TRUE,TRUE,TRUE,unity,10,"During the inauguration speech, the president will emphasize",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
3,1476655157,16c13db9ab46e0524f63e815e97fc187,145089,monthly,34,Male,MO,High school graduate,Independent,TRUE,TRUE,TRUE,her family,10,"Even before Inauguration Day, the Secret Service will protect the president and",female,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,she,Clinton-Trump
4,1476655468,e5a37fa3fa94b57dfc24f691878249ed,858989,daily,29,Female,OH,Professional degree,Democrat,TRUE,TRUE,TRUE,he takes the oath.,10,The entire world will be watching the president when,male,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,he,Clinton-Trump
6,1476655907,fb801d1740e4755701cc6ae0200c4e03,81698,daily,26,Female,OH,Some college,Democrat,TRUE,TRUE,TRUE,it will always be contested.,10,"Although the president's political power will not be absolute,",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
5,1476655964,ff31a15d2de704b334219c3b6dd2558b,886510,daily,41,Male,MD,High school graduate,Republican,TRUE,TRUE,TRUE,were made during the presidental debates,10,"Unfortunately, there is no guarantee that the president will deliver on the promises that",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
8,1476656057,fa6e139d50c408d7126b8935b67caf0a,248984,daily,28,Female,PA,Some college,Democrat,TRUE,TRUE,TRUE,the president will address the military,10,"As commander in chief,",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
9,1476656293,cedd1b06360450fbaf6c46cbbda4eb5d,468171,daily,36,Male,MI,Some college,Democrat,TRUE,TRUE,TRUE, the most divided electorates since the civil war.,10,"The newly elected president will face many challenges, and one of",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
11,1476656746,264edadec5ca43b36d57f8f05170aca5,680436,daily,33,Female,TX,Doctorate,Democrat,TRUE,TRUE,TRUE,she goes.,10,"Once the general election is over, the president will be followed by the press wherever",female,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,she,Clinton-Trump
1,1476657513,14df0f608001744bd804a4317adfbbc9,792185,daily,31,Female,NC,Some college,Independent,TRUE,TRUE,TRUE,the president will do is meet with the cabinet,10,"After moving into the Oval Office, one of the first things that",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
12,1476657617,0f5c210841a54f790010558e9134cdd3,17543,daily,50,Female,ID,2-year college degree,Republican,TRUE,TRUE,TRUE, the safety of the new president,10,"Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
2,1476657621,7cc8974b8b7c8c97fc3f1694449d8d86,694724,daily,38,Male,TX,Some college,Independent,TRUE,TRUE,TRUE,future plans for the country.,10,"During the inauguration speech, the president will emphasize",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
3,1476657656,4bc02d82c3af03947a4884742f174785,83702,monthly,31,Female,WA,4-year college degree,Independent,TRUE,TRUE,TRUE,vice president.,10,"Even before Inauguration Day, the Secret Service will protect the president and",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
4,1476657940,8f850ba85e4da2528d45daabd9e084be,719585,daily,21,Male,TN,High school graduate,None,TRUE,TRUE,TRUE,the time comes.,10,The entire world will be watching the president when,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
6,1476657996,7692d9a636f2ac62a17334c26af9c80f,421351,daily,25,Female,IN,High school graduate,Republican,TRUE,TRUE,TRUE,this election is extremely important.,10,"Although the president's political power will not be absolute,",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
5,1476658051,63546b7c575aa804b07b4fd037442062,49069,daily,44,Female,TN,Professional degree,Democrat,TRUE,TRUE,TRUE,the existing tax code will be reformed. ,10,"Unfortunately, there is no guarantee that the president will deliver on the promises that",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
8,1476658186,e36e10ad72abd874a25d0c0c4196da56,57560,daily,42,Male,MO,Professional degree,Independent,TRUE,TRUE,TRUE,the next president will have some tough decisions. ,10,"As commander in chief,",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
9,1476658992,6adc84c60498393c1bfb1e801acdac95,832450,daily,30,Female,GA,4-year college degree,Independent,TRUE,TRUE,TRUE,those challenges is the necessity of new jobs in the economy.,10,"The newly elected president will face many challenges, and one of",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
10,1476660452,479488d60a00b7e31660c935af2955a7,892927,daily,27,Female,MA,4-year college degree,Democrat,TRUE,TRUE,TRUE,the most important factor in this race,10,The president's motorcade will be,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
11,1476660743,b8283c129c017240fa583eb072322e64,569753,daily,30,Female,IN,Some college,Independent,TRUE,TRUE,TRUE,he or she goes.,10,"Once the general election is over, the president will be followed by the press wherever",both,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,neutral,Clinton-Trump
12,1476661293,3920e9c84509cf1683bd251d6227f4d9,699242,daily,24,Male,CO,4-year college degree,Independent,TRUE,TRUE,TRUE,the safety of the president.,10,"Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
1,1476661927,7e16956762972d1587dcf7053b807a63,854232,daily,31,Female,CA,4-year college degree,None,TRUE,TRUE,TRUE,they will do,10,"After moving into the Oval Office, one of the first things that",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
2,1476662077,c551bbc8544d8bd223e33e7642f00ed0,245714,daily,37,Female,TX,2-year college degree,None,TRUE,TRUE,TRUE,what will be during their time,10,"During the inauguration speech, the president will emphasize",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
3,1476662305,240144ea84c02dbe87953d8bd463c2c6,977614,daily,37,Female,WA,4-year college degree,None,TRUE,TRUE,TRUE,the candidates,10,"Even before Inauguration Day, the Secret Service will protect the president and",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
7,1476663507,7968397445cd4896c0eeb645804aff97,921222,weekly,51,Female,WV,High school graduate,Democrat,TRUE,TRUE,TRUE,better relationship with Russia and Iran,10,"During the first term, the president will have to work towards",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
8,1476663510,ac39fccf615f915f287adc8f0b5fb515,24682,weekly,20,Male,PA,Some college,Democrat,TRUE,TRUE,TRUE, Hillary Clinton,10,"As commander in chief,",clinton,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
9,1476663530,7be2787ec328607d4039413e03e2bba0,975044,weekly,40,Male,TX,4-year college degree,Other,TRUE,TRUE,TRUE,the highest deficits ever.,10,"The newly elected president will face many challenges, and one of",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
12,1476663932,6b0ea9be8c1dcfb63356b142255dc874,852266,daily,25,Female,NC,Professional degree,Republican,TRUE,TRUE,TRUE,the president's safety.,10,"Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
10,1476663973,b9e0113fddb9d65883c0b8ba4b0f845a,750835,daily,46,Male,UT,Some college,None,TRUE,TRUE,TRUE,will arrive at the White House just in time for a celebratory dinner with close friends and family of the new president.,10,The president's motorcade will be,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
1,1476664403,b94778a94de4b8df5743d54eba7289da,540148,daily,19,Male,MA,Some college,Independent,TRUE,TRUE,TRUE,the President will do is settle in.,10,"After moving into the Oval Office, one of the first things that",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
2,1476664447,08d2272ecba5d573bba8c44e544717c4,877220,daily,51,Male,AR,4-year college degree,Republican,TRUE,TRUE,TRUE,a need for unity within the country.,10,"During the inauguration speech, the president will emphasize",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
5,1476664921,4a5af9d6445dd0717549704fb28db8fc,763937,daily,53,Female,VA,4-year college degree,Republican,TRUE,TRUE,TRUE,were made.,10,"Unfortunately, there is no guarantee that the president will deliver on the promises that",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
7,1476665989,23aeedc425bca118669fd77e39d01991,692957,daily,39,Female,AR,Less than high school,Democrat,TRUE,TRUE,TRUE,healing the partisan divide in our country.,10,"During the first term, the president will have to work towards",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
8,1476666278,8b1292cec6c58bb8ea0ff54110457515,39346,daily,28,Male,PA,4-year college degree,Republican,TRUE,TRUE,TRUE, Donald Trump,10,"As commander in chief,",trump,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
9,1476666432,89a36622479c1b6c8f9fa06cf37246bb,457123,daily,31,Male,OH,4-year college degree,Democrat,TRUE,TRUE,TRUE,these will be the Syrian Refugee Crisis.,10,"The newly elected president will face many challenges, and one of",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
10,1476666558,6b8c8894bf1a072bb9dfeec2892da397,833518,daily,35,Female,FL,2-year college degree,Independent,TRUE,TRUE,TRUE, bulletproof,10,The president's motorcade will be,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
11,1476666753,d17d71818775d287d376565dd94a4100,646087,daily,25,Male,DE,Some college,Democrat,TRUE,TRUE,TRUE,they go.,10,"Once the general election is over, the president will be followed by the press wherever",neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
1,1476667601,2042c72e55f48e3d3bbce7b2c150202b,982296,daily,39,Male,GA,Professional degree,Republican,TRUE,TRUE,TRUE,the President will look to improve is amount debit incurred by our current President.,10,"After moving into the Oval Office, one of the first things that",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
12,1476667659,929a764c1b80795bbfec6c5ea42d49e9,500365,daily,55,Male,AZ,Some college,Democrat,TRUE,TRUE,TRUE,arrival to the Capitol.,10,"Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
4,1476668473,30e274a88b884111672e356edbd0cc0a,864367,daily,35,Male,MA,4-year college degree,Independent,TRUE,TRUE,TRUE,they are sworn into office.,10,The entire world will be watching the president when,neutral,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,neutral,Clinton-Trump
5,1476668629,f8e97a98f8e450eab9c291c95bd08c16,32732,weekly,23,Female,OH,Some college,Independent,TRUE,TRUE,TRUE,the next president will do better or worse.,10,"Unfortunately, there is no guarantee that the president will deliver on the promises that",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
6,1476669345,5289fe85ac36c3a531114c1aff406f34,416362,daily,47,Female,GA,Professional degree,Democrat,TRUE,TRUE,TRUE,it will be significant.,10,"Although the president's political power will not be absolute,",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
7,1476669596,965edd56f1b79b81f646fd38c057e484,95917,weekly,26,Female,TX,Some college,Independent,TRUE,TRUE,TRUE,unifying republicans and democrats,10,"During the first term, the president will have to work towards",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
8,1476670052,7d2e8a5b5846de1a512fd42f4fc993b5,978202,daily,28,Female,OR,Some college,Republican,TRUE,TRUE,TRUE,Donald Trump has his work cut out for him.,10,"As commander in chief,",trump,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
9,1476670984,b8c0d72708b0bab68c7879e8a0e441de,258371,daily,44,Female,WA,Some college,Independent,TRUE,TRUE,TRUE,The hardest jobs in there life.,10,"The newly elected president will face many challenges, and one of",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
10,1476672794,ad5578449ac1cf4b03a96689525b4f02,585906,weekly,29,Female,NC,2-year college degree,Republican,TRUE,TRUE,TRUE,suv,10,The president's motorcade will be,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
11,1476672861,73b723e333c26b319ff80c06865b9810,775684,weekly,31,Male,IN,High school graduate,Republican,TRUE,TRUE,TRUE,he or she goes,10,"Once the general election is over, the president will be followed by the press wherever",both,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,neutral,Clinton-Trump
12,1476673981,fc5c5c9bd7c5095215586a01495dd105,867045,daily,25,Female,TX,2-year college degree,Republican,TRUE,TRUE,TRUE,safe arrival.,10,"Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
1,1476674158,d5b72f710e1324c589b275641972d21b,120726,daily,39,Female,MI,High school graduate,None,TRUE,TRUE,TRUE,,10,"After moving into the Oval Office, one of the first things that",none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Clinton-Trump
